entity_name,audit_flag,irregularity_score,detected_issues,severity,evidence_sentences
Ghana Cocoa Board,1,134,"irregularity, tax, policy, procurement, property, equipment, concession, tender, unapproved, rebate, maintenance, unearned, fine, error, charge, contract, unaccounted, payroll, irregular, recover, procedure, bid, salary, fee, variance, documentation, overtime, vehicle, depreciation, asset, repair, upgrade, irregularities, mistake, allowance, petty cash",medium,"simon diedong dombo university of business and 1123-1186 242-259 integrated development studies (sdd-ubids) report of the  on the public accounts of ghana – public boards, corporations and other ii statutory institutions for the period ended 31 december 2023 ministry of health 54 | 6 0 4,126,218 4,132,434 53,219,534 sub-total ($) 4,585,776 total (gh¢) 100 8,744,784,101 54,479,019 8,799,263,120 a graphical representation of irregularities in ghana cedis 2 report of the  on the public accounts of ghana – public boards, corporations and other statutory institutions for the period ended 31 december 2023 6 | 6 0 4,126,218 4,132,434 53,219,534 sub-total ($) 4,585,776 total (gh¢) 100 8,744,784,101 54,479,019 8,799,263,120 a graphical representation of irregularities in ghana cedis 2 report of the  on the public accounts of ghana – public boards, corporations and other statutory institutions for the period ended 31 december 2023 6"
Consolidated Bank Ghana,1,50,"tax, policy, refund, fee, maintenance, charge, repay, recovery, recover",low,we recommended that management of the bank should take practical steps to recover the loans from ghana cocoa board | bank of ghana should also institute policies to address its exposure to quasi-government institutions and ensure clear repayment plans are in place when loans fall due | 61 from all staff involved and pay same into the auditor- general’s recoveries account at bank of ghana with account number 1018331470015
Bulk Oil Storage And Transportation Company Limited,1,1,contract,low,paragraph 6 of the contract agreement between bulk oil storage and transportation company limited (bost) and antares trade international ghana limited provides that delivery of goods shall be made by the supplier in accordance with the terms specified by the purchaser in its schedule of requirements
Electricity Company Of Ghana,1,1,policy,low,"by policy and practice, the authority enters into power sale and purchase agreements (pspa) with customers who meet the requirement of the energy commission’s classification of the bulk customer and have been duly 111 report of the  on the public accounts of ghana – public boards, corporations and other statutory institutions for the period ended 31 december 2023 granted a bulk customer permit by the energy commission to purchase and use electricity"
Northen Electricity Distribution Company,0,0,,low,
Petroleum Commission,1,3,"regulation, fee, charge",low,"regulation 3 of the petroleum commission (fees and charges) regulations, 2015 (l | regulation 3 of the petroleum commission (fees and charges) regulations, 2015 (l | regulation 3 of the petroleum commission (fees and charges) regulations, 2015 (l"
Volta River Authority,1,4,"asset, policy, vehicle, contract",low,"0% to gh¢13,110,543 in 2022 from gh¢13,249,545 in 2021 due to the transfer of assets relating to the akosombo/akuse township from the company to the volta river authority (vra) | 7 of the accounting manual of the volta river authority (vra) provides that employees to whom advance payments in respect of working advance and cheque-enclosed have been given are required by the policy to retire or account for the amount within the four (4) weeks following the issuances of the cheque (cheque date) | our audit disclosed that the volta river authority did not have contractual agreements with four (4) of its bulk customers for the sale and purchase of electricity"
Petroleum Hub Development Corporation,0,0,,low,
Ghana Cylinder Manufacturing Company Ltd,0,0,,low,
Ghana National Petroleum Corporation,1,8,"fee, charge, contract",low,"we noted that the services provided by the ghana petroleum mooring systems ltd (gpms) for the use of offshore buoys and pipelines for discharge from the vessels (cargo) through the conventional buoy mooring (cbm) pipeline into bost tanks at the accra plain depot (apd) was not covered with a written contract or service level agreement to outline the rights, obligations, scope and other terms of a valid contract | we noted that the services provided by the ghana petroleum mooring systems ltd (gpms) for the use of offshore buoys and pipelines for discharge from the vessels (cargo) through the conventional buoy mooring (cbm) pipeline into bost tanks at the accra plain depot (apd) was not covered with a written contract or service level agreement to outline the rights, obligations, scope and other terms of a valid contract | we noted that the services provided by the ghana petroleum mooring systems ltd (gpms) for the use of offshore buoys and pipelines for discharge from the vessels (cargo) through the conventional buoy mooring (cbm) pipeline into bost tanks at the accra plain depot (apd) was not covered with a written contract or service level agreement to outline the rights, obligations, scope and other terms of a valid contract"
National Communication Authority,1,4,"tax, fee, irregular, irregularities",low,"out of the total tax irregularities of gh¢1,904,046, were penalties of gh¢1,248,651 imposed on the national lottery authority in respect of delayed payment of p | out of the total tax irregularities of gh¢1,904,046, were penalties of gh¢1,248,651 imposed on the national lottery authority in respect of delayed payment of p | out of the total tax irregularities of gh¢1,904,046, were penalties of gh¢1,248,651 imposed on the national lottery authority in respect of delayed payment of p"
National Lottery Authority,1,4,"tax, fee, irregular, irregularities",low,"out of the total tax irregularities of gh¢1,904,046, were penalties of gh¢1,248,651 imposed on the national lottery authority in respect of delayed payment of p | out of the total tax irregularities of gh¢1,904,046, were penalties of gh¢1,248,651 imposed on the national lottery authority in respect of delayed payment of p | out of the total tax irregularities of gh¢1,904,046, were penalties of gh¢1,248,651 imposed on the national lottery authority in respect of delayed payment of p"
National Sports Authority,1,4,"tax, fee, irregular, irregularities",low,"out of the total tax irregularities of gh¢1,904,046, were penalties of gh¢1,248,651 imposed on the national lottery authority in respect of delayed payment of p | out of the total tax irregularities of gh¢1,904,046, were penalties of gh¢1,248,651 imposed on the national lottery authority in respect of delayed payment of p | out of the total tax irregularities of gh¢1,904,046, were penalties of gh¢1,248,651 imposed on the national lottery authority in respect of delayed payment of p"
National Identification Authority,1,4,"tax, fee, irregular, irregularities",low,"out of the total tax irregularities of gh¢1,904,046, were penalties of gh¢1,248,651 imposed on the national lottery authority in respect of delayed payment of p | out of the total tax irregularities of gh¢1,904,046, were penalties of gh¢1,248,651 imposed on the national lottery authority in respect of delayed payment of p | out of the total tax irregularities of gh¢1,904,046, were penalties of gh¢1,248,651 imposed on the national lottery authority in respect of delayed payment of p"
National Petroleum Authority,1,4,"tax, fee, irregular, irregularities",low,"out of the total tax irregularities of gh¢1,904,046, were penalties of gh¢1,248,651 imposed on the national lottery authority in respect of delayed payment of p | out of the total tax irregularities of gh¢1,904,046, were penalties of gh¢1,248,651 imposed on the national lottery authority in respect of delayed payment of p | out of the total tax irregularities of gh¢1,904,046, were penalties of gh¢1,248,651 imposed on the national lottery authority in respect of delayed payment of p"
Energy Commission,1,1,policy,low,"by policy and practice, the authority enters into power sale and purchase agreements (pspa) with customers who meet the requirement of the energy commission’s classification of the bulk customer and have been duly 111 report of the  on the public accounts of ghana – public boards, corporations and other statutory institutions for the period ended 31 december 2023 granted a bulk customer permit by the energy commission to purchase and use electricity"
